# time [s],Power [W]
86.25,-0.322405433
86.5,-0.321428261
86.75,-0.320442032
87,-0.319446789
87.25,-0.036100997
87.5,-0.036344964
87.75,-0.036586017
88,-0.036824163
88.25,-1.783612191
88.5,-1.75498287
88.75,-1.726260652
89,-1.697447013
89.25,-3.571833883
89.5,-3.441326051
89.75,-3.310482057
90,-3.179313712
90.25,-3.524563518
90.5,-3.347310884
90.75,-3.169679473
91,-2.991687349
91.25,-2.653382186
91.5,-2.495106277
91.75,-2.336555741
92,-2.177745745
92.25,-1.108970983
92.5,-1.061930203
92.75,-1.014818138
93,-0.967637453
93.25,-0.706760966
93.5,-0.678620548
93.75,-0.650441996
94,-0.622226601
94.25,-0.800610997
94.5,-0.749439611
94.75,-0.698212369
95,-0.64693223
95.25,-0.678951124
95.5,-0.611461029
95.75,-0.54391499
96,-0.476317368
96.25,-0.273446618
96.5,-0.244864582
96.75,-0.216264142
97,-0.18764659
97.25,-0.098392326
97.5,-0.087816663
97.75,-0.077235259
98,-0.066648448
98.25,-0.086065713
98.5,-0.05738666
98.75,-0.028697658
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
120,0
120.25,0
120.5,0
120.75,0
121,0
121.25,0
121.5,0
121.75,0
122,0
122.25,0
122.5,0
122.75,0
123,0
123.25,0
123.5,0
123.75,0
124,0
124.25,0
124.5,0
124.75,0
125,0
125.25,0
125.5,0
125.75,0
126,0
126.25,0
126.5,0
126.75,0
127,0
127.25,0
127.5,0
127.75,0
128,0
128.25,0
128.5,0
128.75,0
129,0
129.25,0
129.5,0
129.75,0
130,0
130.25,0
130.5,0
130.75,0
131,0
131.25,0
131.5,0
131.75,0
132,0
132.25,0
132.5,0
132.75,0
133,0
133.25,0
133.5,0
133.75,0
134,0
134.25,0
134.5,0
134.75,0
135,0
135.25,0
135.5,0
135.75,0
136,0
136.25,0
136.5,0
136.75,0
137,0
137.25,0.000978649
137.5,0.001957388
137.75,0.002936219
138,0.003915144
138.25,0.049690493
138.5,0.083489385
138.75,0.117296859
139,0.151113789
139.25,0.529318403
139.5,0.717849855
139.75,0.90647062
140,1.095193842
140.25,1.766452789
140.5,2.096799074
140.75,2.427413177
141,2.758326249
141.25,2.573421877
141.5,2.809412771
141.75,3.045673041
142,3.282221104
142.25,1.911944709
142.5,1.983053704
142.75,2.054254881
143,2.12555101
143.25,1.006612548
143.5,1.02019381
143.75,1.033791063
144,1.047404484
144.25,0.979276738
144.5,0.990657343
144.75,1.002051448
145,1.01345918
145.25,1.974822689
145.5,2.022262978
145.75,2.069774043
146,2.117357302
146.25,2.741383299
146.5,2.819058743
146.75,2.896864829
147,2.974804675
147.25,2.732576688
147.5,2.794855848
147.75,2.857246439
148,2.919750618
148.25,2.063361698
148.5,2.092253178
148.75,2.121195086
149,2.150188021
149.25,1.106593592
149.5,1.11282061
149.75,1.119055964
150,1.125299694
150.25,-0.044658097
150.5,-0.044770923
150.75,-0.044881208
151,-0.044988959
151.25,-1.464319679
151.5,-1.437744371
151.75,-1.411095226
152,-1.384373534
152.25,-3.036385321
152.5,-2.904578108
152.75,-2.772482998
153,-2.6401118
153.25,-2.89414924
153.5,-2.715634623
153.75,-2.536805301
154,-2.357679337
154.25,-1.643371066
154.5,-1.543362693
154.75,-1.443211171
155,-1.342924266
155.25,-0.353177867
155.5,-0.344517792
155.75,-0.335844771
